split,file,leaf_idx,leaf_class_name,leaf_area,lesion_area,lesion_count,severity_pct,bbox_x1,bbox_y1,bbox_x2,bbox_y2
train,00001_frog_eye_leaf_spot_jpg.rf.806a4e55716bb6c2867fb0b5d91625f0.jpg,0,frog-eye-leaf-spot,1901657.6659999788,39163.0,5,2.0594137788415403,757.0,560.0,2438.0,2126.0
train,00002_frog_eye_leaf_spot_jpg.rf.86ba81c9c485f1b7bae660b9c159e372.jpg,0,frog-eye-leaf-spot,4239662.666999996,19537.0,7,0.4608149641731867,170.0,235.00000000000003,2933.0,2384.0
train,00002_frog_eye_leaf_spot_jpg.rf.86ba81c9c485f1b7bae660b9c159e372.jpg,1,frog-eye-leaf-spot,1159992.7889999747,2322.5,1,0.2002167618647197,1928.0,1946.0,3999.0,2671.0
train,00003_frog_eye_leaf_spot_jpg.rf.9ea9e8a1bf55912cf436ac51f4cc7d3c.jpg,0,frog-eye-leaf-spot,4802076.5,39196.5,4,0.816240640897745,262.0,128.0,3213.0,2411.0
train,00004_frog_eye_leaf_spot_jpg.rf.44759921f9dee5a1300ca6b0d108b899.jpg,0,frog-eye-leaf-spot,3888343.25,22402.75,4,0.5761515524638932,487.0,360.0,3006.0,2334.0
train,00005_frog_eye_leaf_spot_jpg.rf.44ce7a6495450428c4ef8ccdac5fda95.jpg,0,frog-eye-leaf-spot,5030925.955499977,7234.0,2,0.1437906274905825,134.0,0.0,3574.0,2236.0
train,00006_frog_eye_leaf_spot_jpg.rf.4b746cfab59b3660328b5560f7ddce87.jpg,0,frog-eye-leaf-spot,2378793.5,43536.5,3,1.8301924904368538,1218.0,241.0,3513.0,1845.0
train,00006_frog_eye_leaf_spot_jpg.rf.4b746cfab59b3660328b5560f7ddce87.jpg,1,frog-eye-leaf-spot,950333.5,50785.0,3,5.3439134787945495,65.0,1277.0,1343.0,2491.0
train,00007_frog_eye_leaf_spot_jpg.rf.e4592b4dd00e58eea06aa8ea66020451.jpg,0,frog-eye-leaf-spot,3146177.5,130049.5,5,4.133571611900473,664.0,444.0,3392.0,2123.0
train,00007_frog_eye_leaf_spot_jpg.rf.e4592b4dd00e58eea06aa8ea66020451.jpg,1,frog-eye-leaf-spot,440210.25,58436.5,1,13.27467954233233,0.0,7.0,462.0,1368.0
train,00008_frog_eye_leaf_spot_jpg.rf.d5f2b374e7e1fcae9f152ffe44dd78a7.jpg,0,frog-eye-leaf-spot,3739756.5,63418.6679999996,12,1.6957967183157405,1069.0,178.99999999999997,3685.0,2111.0
train,00009_frog_eye_leaf_spot_jpg.rf.55071c9cf25884b392ea758324b8d76c.jpg,0,frog-eye-leaf-spot,2458847.5,80542.0,8,3.2755996457690038,623.0,691.0,3161.0,2262.0
train,00010_frog_eye_leaf_spot_jpg.rf.e7890eb2e70d7a2aaca79573f411b83c.jpg,0,frog-eye-leaf-spot,6700254.0,14477.5,9,0.21607389809401256,215.0,7.0,3492.0,2663.0
train,00011_frog_eye_leaf_spot_jpg.rf.bcdea06c432ba2753d3e6f31c4c21323.jpg,0,frog-eye-leaf-spot,2631379.5,19972.0,2,0.758993524119193,746.0,307.0,2962.0,2255.0
train,00012_frog_eye_leaf_spot_jpg.rf.8b59079062fbb235fcc398680e81b75b.jpg,0,frog-eye-leaf-spot,5216312.914500058,66208.0,11,1.2692490095055102,467.0,103.0,3646.0,2500.0
train,00013_frog_eye_leaf_spot_jpg.rf.670760f81712542fa52468193a3da28a.jpg,0,frog-eye-leaf-spot,2278433.1689999998,32622.0,4,1.4317733977827287,1168.0,158.0,2784.0,2180.0
train,00014_frog_eye_leaf_spot_jpg.rf.16357a8b2dce552ae36383f3f6095929.jpg,0,frog-eye-leaf-spot,5389859.5,23153.5,5,0.42957520506796143,494.0,139.0,3582.0,2501.0
